name,population,
Baco,39817,
Bansud,42671,
Bongabong,76973,
Bulalacao,44366,
Calapan City,145786,
Gloria,50496,
Mansalay,59114,
Naujan,109587,
Pinamalayan,90383,
Pola,35455,
Puerto Galera,41961,
Roxas,58849,
San Teodoro,19121,
Socorro,41585,
Victoria,52175,
