"dog_population","estimated_deaths","total_exposures","exposures_seek","exposures_not_seek","P_seek_PEP","exposure_incidence","deaths_averted","rabid_dogs","percent_confirm","rabies_incidence"
278114.55,25,420.612587049446,251.005749278556,152,0.596167544461619,15.435228002227,39,1069.675,1.20739097937555,1.58862929458415
417855.5,28,657.638798744418,485.728166488698,170,0.743000828921816,24.1333833419908,80,1710.5,1.63694840061385,3.76449439224863
849635.2,32,874.220849172864,704.497094916878,194,0.810340327301337,32.0812989120018,125,2319.05,2.61762703472179,7.44547993011674
