"","Year","pPEP","pPEP_LCI","pPEP_UCI"
"50%","2020",0.687999457897007,0.533499732275719,0.77534582808881
"50%1","2021",0.68884939876609,0.486522358945053,0.788175704641327
"50%2","2022",0.797028647962768,0.67819551029856,0.858264938812872
"50%3","overall",0.737776308584932,0.593786505342375,0.811443399067306
