"","PROVINCE","MUNICIPALITY","BARANGAY","DATE_OF_INVESTIGATION","GII_NUMBER_OF_PEOPLE_BITTEN","GII_ANIMAL_OWNED","ANIMAL_OUTCOME","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_DONE","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_OUTCOME","date"
"112","Oriental Mindoro","Baco","Baco_Mangangan I","2022-02-09 00:00:00.000000",1,"owned","dead","yes","positive",2022-02-09
"113","Oriental Mindoro","Calapan","Calapan City_Comunal","2021-06-21 00:00:00.000000",1,"not_owned","alive",NA,NA,2021-06-21
"114","Oriental Mindoro","Baco","Baco_Water","2021-06-01 00:00:00.000000",1,"owned","alive",NA,NA,2021-06-01
"115","Oriental Mindoro","Naujan","Naujan_Nag-Iba II","2022-03-28 00:00:00.000000",1,"not_owned","disappeared_not_found",NA,NA,2022-03-28
"116","Oriental Mindoro","Roxas","Roxas_Libertad","2022-03-02 00:00:00.000000",1,"owned","dead","yes","positive",2022-03-02
"117","Oriental Mindoro","Calapan","Calapan City_Santa Isabel","2021-12-01 00:00:00.000000",1,"owned","alive",NA,NA,2021-12-01
"118","Oriental Mindoro","Calapan","Calapan City_Santo Nino","2020-05-20 00:00:00.000000",NA,"owned","dead","yes","negative",2020-05-20
"119","Oriental Mindoro","Mansalay","Mansalay_Santa Teresita","2021-04-14 00:00:00.000000",1,"owned","dead","yes","negative",2021-04-14
"120","Oriental Mindoro","Mansalay","Mansalay_Don Pedro","2022-05-19 00:00:00.000000",1,"owned","dead","yes","positive",2022-05-19
"121","Oriental Mindoro","Calapan","Calapan City_Camilmil","2021-12-01 00:00:00.000000",1,"unknown","alive",NA,NA,2021-12-01
